Det,AFPC Comments,LastName,FirstName,MI,SSN,DOB,DOC,AFSC,Branch
237,,SMITH,JAMES,A,657032498,14/03/1982,21/06/2004,13S1,USSF
812,,JOHNSON,MARY,B,629262327,22/11/1978,14/09/2001,11F3,USAF
445,,WILLIAMS,ROBERT,C,681325884,5/5/1990,11/12/2012,17D1,USAF
109,,BROWN,PATRICIA,D,937957604,18/08/1985,3/2/2008,13S3,USSF
318,,JONES,JOHN,E,988041510,30/01/1979,25/07/2001,14N1,USAF
901,,GARCIA,JENNIFER,F,924934462,12/10/1993,19/04/2015,62E1S,USAF
512,,MILLER,MICHAEL,G,162821252,4/4/1988,8/11/2010,21A1,USAF
783,,DAVIS,LINDA,H,548928024,15/07/1981,29/03/2003,5C0X1,USSF
045,,RODRIGUEZ,DAVID,I,133666199,27/12/1987,14/05/2010,11M3,USAF
612,,MARTINEZ,ELIZABETH,J,232183049,9/9/1991,22/01/2014,32E1S,USAF
114,,HERNANDEZ,WILLIAM,K,186614110,20/03/1984,10/6/2006,13S1,USSF
389,,LOPEZ,BARBARA,L,185728737,11/11/1976,4/8/1999,12R3,USAF
821,,GONZALEZ,RICHARD,M,285693368,2/6/1989,17/02/2011,17S1,USAF
004,,WILSON,SUSAN,N,814232894,25/02/1983,11/7/2005,14N1S,USSF
290,,ANDERSON,JOSEPH,O,816805725,18/05/1992,5/10/2014,31P1,USAF
712,,THOMAS,JESSICA,P,630533910,1/1/1980,12/3/2002,63A1,USAF
840,,TAYLOR,THOMAS,Q,494633060,23/09/1986,28/04/2009,1A0X1,USAF
652,,MOORE,SARAH,R,658647556,14/04/1995,9/11/2017,17D1S,USSF
510,,JACKSON,CHARLES,S,548913456,6/8/1977,22/01/2000,1C0X2,USAF
309,,MARTIN,KAREN,T,415495098,28/11/1990,14/06/2013,3D0X2,USAF
412,,LEE,CHRISTOPHER,U,868137691,19/02/1984,1/5/2006,13S1,USSF
115,,PEREZ,NANCY,V,957358198,31/07/1989,24/12/2011,11F3,USAF
890,,THOMPSON,DANIEL,W,166296994,12/5/1981,9/9/2003,17D1,USAF
023,,WHITE,LISA,X,219950963,22/10/1994,15/04/2017,62E1S,USSF
618,,HARRIS,MATTHEW,Y,032050584,5/1/1975,19/06/1997,14N1,USAF
402,,SANCHEZ,BETTY,Z,357882583,14/03/1988,27/08/2010,62E1S,USAF
721,,CLARK,ANTHONY,A,447780292,26/09/1982,11/2/2005,63A1,USAF
103,,RAMIREZ,MARGARET,B,166858634,8/4/1991,20/10/2013,13S3,USSF
912,,LEWIS,MARK,C,620953815,19/07/1986,2/1/2009,21A1,USAF
345,,ROBINSON,SANDRA,D,033278870,31/12/1979,15/05/2002,32E1S,USAF
819,,WALKER,DONALD,E,231226493,11/2/1985,25/06/2007,13S1,USSF
112,,YOUNG,ASHLEY,F,683070702,22/05/1993,8/11/2015,11M3,USAF
543,,ALLEN,PAUL,G,705374994,3/9/1980,14/04/2002,17S1,USAF
604,,KING,KIMBERLY,H,789136743,15/12/1987,30/05/2010,5C0X1,USSF
219,,WRIGHT,STEVEN,I,938980249,27/04/1976,12/10/1998,14N1,USAF
045,,SCOTT,DONNA,J,993373434,8/8/1991,21/01/2014,31P1,USAF
781,,TORRES,ANDREW,K,684069375,19/01/1984,4/7/2006,63A1,USAF
132,,NGUYEN,EMILY,L,168527202,31/10/1989,15/03/2012,17D1S,USSF
812,,HILL,KENNETH,M,345030451,12/3/1982,28/08/2004,1A0X1,USAF
309,,FLORES,MICHELLE,N,491606089,24/06/1995,10/11/2017,1C0X2,USAF
119,,GREEN,JOSHUA,O,750030729,5/11/1978,19/04/2001,13S1,USSF
921,,ADAMS,CAROL,P,240926421,17/02/1985,3/8/2007,3D0X2,USAF
561,,NELSON,KEVIN,Q,508732900,28/05/1990,12/11/2012,11F3,USAF
334,,BAKER,AMANDA,R,402863526,9/9/1981,25/02/2004,62E1S,USSF
711,,HALL,BRIAN,S,594227455,21/12/1992,5/6/2015,17D1,USAF
089,,RIVERA,MELISSA,T,598837758,2/4/1983,18/09/2005,14N1,USAF
432,,CAMPBELL,GEORGE,U,140335006,14/07/1988,29/12/2010,62E1S,USAF
518,,MITCHELL,DEBORAH,V,799152473,26/10/1994,11/3/2017,13S3,USSF
901,,CARTER,EDWARD,W,260295707,7/2/1977,23/07/1999,21A1,USAF
312,,ROBERTS,STEPHANIE,X,504762880,19/05/1991,4/11/2013,32E1S,USAF
111,,GOMEZ,RONALD,Y,827242672,30/08/1986,13/02/2009,13S1,USSF
812,,PHILLIPS,REBECCA,Z,996354125,11/12/1979,27/05/2002,11M3,USAF
604,,EVANS,TIMOTHY,A,389651017,23/03/1993,8/9/2015,17S1,USAF
201,,DIAZ,SHARON,B,558462344,4/7/1980,18/12/2002,5C0X1,USSF
712,,HOWARD,JASON,C,727924790,16/10/1985,2/4/2008,14N1,USAF
389,,WEST,LAURA,D,595734931,28/01/1992,15/07/2014,31P1,USAF
921,,JORDAN,JEFFREY,E,636067506,10/5/1983,24/10/2005,63A1,USAF
510,,OWENS,CYNTHIA,F,98056794,22/08/1994,6/2/2017,17D1S,USSF
114,,REYNOLDS,RYAN,G,047763770,3/12/1975,19/05/1998,1A0X1,USAF
815,,FISHER,KATHLEEN,H,079904027,15/03/1988,31/08/2010,1C0X2,USAF
304,,ELLIS,JACOB,I,582820559,27/06/1981,12/12/2003,13S1,USSF
927,,HARRISON,AMY,J,944409326,8/10/1992,25/03/2015,3D0X2,USAF
412,,GIBSON,GARY,K,582067166,20/01/1987,7/7/2009,11F3,USAF
119,,MCDONALD,SHIRLEY,L,871285909,1/5/1984,17/10/2006,62E1S,USSF
890,,CRUZ,NICHOLAS,M,626353128,13/08/1995,29/01/2018,17D1,USAF
512,,MARSHALL,ANGELA,N,590693912,25/11/1976,12/5/1999,14N1,USAF
203,,ORTIZ,ERIC,O,450588109,7/3/1989,23/08/2011,62E1S,USAF
712,,MURRAY,HELEN,P,291627686,19/06/1980,4/12/2002,13S3,USSF
389,,FREEMAN,JONATHAN,Q,921758180,1/10/1991,18/03/2014,21A1,USAF
921,,WELLS,ANNA,R,674519518,13/01/1986,29/06/2008,32E1S,USAF
510,,WEBB,STEPHEN,S,987951752,25/04/1993,10/10/2015,13S1,USSF
114,,SIMPSON,BRENDA,T,397693483,7/8/1984,23/01/2007,11M3,USAF
815,,STEVENS,LARRY,U,173751691,19/11/1975,6/5/1998,17S1,USAF
304,,TUCKER,PAMELA,V,199852408,1/3/1989,17/08/2011,5C0X1,USSF
927,,PORTER,JUSTIN,W,172827735,13/06/1982,29/11/2004,14N1,USAF
412,,HUNTER,NICOLE,X,504166133,25/09/1995,12/3/2018,31P1,USAF
119,,HICKS,BENJAMIN,Y,161073906,7/1/1987,23/06/2009,63A1,USAF
890,,CRAWFORD,SAMANTHA,Z,145694707,19/04/1994,4/10/2016,17D1S,USSF
512,,BOYD,SAMUEL,A,030095809,1/8/1979,17/01/2002,1A0X1,USAF
203,,MASON,KATHERINE,B,108001802,13/11/1990,30/04/2013,1C0X2,USAF
712,,BURNS,GREGORY,C,457147803,25/02/1985,12/8/2007,13S1,USSF
389,,GARDNER,EMMA,D,778863631,9/6/1992,24/11/2014,3D0X2,USAF
921,,PAYNE,ALEXANDER,E,135314500,21/09/1983,8/3/2006,11F3,USAF
510,,PALMER,RUTH,F,102105791,3/1/1995,20/06/2017,62E1S,USSF
114,,STONE,FRANK,G,973121979,15/04/1976,1/10/1998,17D1,USAF
815,,NICHOLS,CHRISTINE,H,349716245,27/07/1989,12/1/2012,14N1,USAF
304,,WARREN,PATRICK,I,980911340,8/11/1980,25/04/2003,62E1S,USAF
927,,STEWART,DEBRA,J,487317160,20/02/1993,7/8/2015,13S3,USSF
412,,MORRISON,RAYMOND,K,546331271,4/6/1984,20/11/2006,21A1,USAF
119,,SMITH,RACHEL,L,378937285,16/09/1987,3/3/2010,32E1S,USAF
890,,JOHNSON,JACK,M,550566686,28/12/1994,15/06/2017,13S1,USSF
512,,WILLIAMS,CAROLYN,N,926652754,11/4/1979,27/09/2001,11M3,USAF
203,,BROWN,DENNIS,O,565880313,23/07/1988,8/1/2011,17S1,USAF
712,,JONES,JANET,P,812468173,4/11/1981,21/04/2004,5C0X1,USSF
389,,GARCIA,JERRY,Q,787276021,16/02/1990,4/8/2012,14N1,USAF
921,,MILLER,MARIA,R,687635289,28/05/1983,13/11/2005,31P1,USAF
510,,DAVIS,TYLER,S,803491617,9/9/1992,25/02/2015,63A1,USAF
114,,RODRIGUEZ,HEATHER,T,642509125,21/12/1986,8/6/2009,17D1S,USSF
815,,MARTINEZ,AARON,U,029090366,3/4/1978,19/09/2000,1A0X1,USAF
304,,HERNANDEZ,HELENA,V,999472571,15/07/1989,31/12/2011,1C0X2,USAF
927,,LOPEZ,JAMES,W,890133218,27/10/1980,14/04/2003,13S1,USSF
412,,GONZALEZ,MARY,X,001658718,8/2/1995,26/07/2017,3D0X2,USAF
119,,WILSON,ROBERT,Y,305727959,20/05/1976,5/11/1998,11F3,USAF
890,,ANDERSON,PATRICIA,Z,199129033,1/9/1989,17/02/2012,62E1S,USSF
512,,THOMAS,JOHN,A,460288488,13/12/1982,30/05/2005,17D1,USAF
203,,TAYLOR,JENNIFER,B,681153614,25/03/1991,10/9/2013,14N1,USAF
712,,MOORE,MICHAEL,C,401873614,6/7/1984,22/12/2006,62E1S,USAF
389,,JACKSON,LINDA,D,32229789,18/10/1995,5/4/2018,13S3,USSF
921,,MARTIN,DAVID,E,800692708,30/01/1977,17/07/1999,21A1,USAF
510,,LEE,ELIZABETH,F,078589451,11/5/1990,27/10/2012,32E1S,USAF
114,,PEREZ,WILLIAM,G,976114421,23/08/1981,8/2/2004,13S1,USSF
815,,THOMPSON,BARBARA,H,650110380,4/12/1992,22/05/2015,11M3,USAF
304,,WHITE,RICHARD,I,386476566,16/03/1986,1/9/2008,17S1,USAF
927,,HARRIS,SUSAN,J,22698489,28/06/1977,13/12/1999,5C0X1,USSF
412,,SANCHEZ,JOSEPH,K,779693968,9/10/1990,27/03/2013,14N1,USAF
119,,CLARK,JESSICA,L,790450121,21/01/1982,8/7/2004,31P1,USAF
890,,RAMIREZ,THOMAS,M,161245395,3/5/1993,19/10/2015,63A1,USAF
512,,LEWIS,SARAH,N,620173573,15/08/1984,1/2/2007,17D1S,USSF
203,,ROBINSON,CHARLES,O,477139145,27/11/1975,15/05/1998,1A0X1,USAF
712,,WALKER,KAREN,P,144994706,9/3/1987,25/08/2009,1C0X2,USAF
389,,YOUNG,CHRISTOPHER,Q,753484884,21/06/1980,7/12/2002,13S1,USSF
921,,ALLEN,NANCY,R,152347225,3/10/1991,21/03/2014,3D0X2,USAF
510,,KING,DANIEL,S,557670418,15/01/1985,2/7/2007,11F3,USAF
114,,WRIGHT,LISA,T,274388534,27/04/1994,13/10/2016,62E1S,USSF
815,,SCOTT,MATTHEW,U,224882499,9/8/1976,24/01/1999,17D1,USAF
304,,TORRES,BETTY,V,667059296,21/11/1988,9/5/2011,14N1,USAF
927,,NGUYEN,ANTHONY,W,469958100,3/3/1982,19/08/2004,62E1S,USAF
412,,HILL,MARGARET,X,628545956,15/06/1993,1/12/2015,13S3,USSF
119,,FLORES,MARK,Y,487343333,27/09/1977,15/03/2000,21A1,USAF
890,,GREEN,SANDRA,Z,695389576,9/1/1990,27/06/2012,32E1S,USAF
512,,ADAMS,DONALD,A,522571217,21/04/1981,7/10/2003,13S1,USSF
203,,NELSON,ASHLEY,B,494888289,3/8/1992,20/01/2015,11M3,USAF
712,,BAKER,PAUL,C,023503645,15/11/1983,2/5/2006,17S1,USAF
389,,HALL,KIMBERLY,D,16149962,27/02/1985,15/08/2007,5C0X1,USSF
921,,RIVERA,STEVEN,E,871533349,9/6/1976,25/11/1998,14N1,USAF
510,,CAMPBELL,DONNA,F,019337707,21/09/1987,9/3/2010,31P1,USAF
114,,MITCHELL,ANDREW,G,153888925,3/1/1982,20/06/2004,63A1,USAF
815,,CARTER,EMILY,H,619238016,15/04/1993,1/10/2015,17D1S,USSF
304,,ROBERTS,KENNETH,I,466642900,27/07/1978,12/1/2001,1A0X1,USAF
927,,GOMEZ,MICHELLE,J,531952332,9/11/1989,27/04/2012,1C0X2,USAF
412,,PHILLIPS,JOSHUA,K,264446382,21/02/1984,9/8/2006,13S1,USSF
119,,EVANS,CAROL,L,358844816,3/6/1995,20/11/2017,3D0X2,USAF
890,,DIAZ,KEVIN,M,859738142,15/09/1976,3/3/1999,11F3,USAF
512,,HOWARD,AMANDA,N,150540032,27/12/1987,14/06/2010,62E1S,USSF
203,,WEST,BRIAN,O,558713966,9/4/1981,25/09/2003,17D1,USAF
712,,JORDAN,MELISSA,P,466264878,21/07/1992,6/1/2015,14N1,USAF
389,,OWENS,GEORGE,Q,187823664,3/11/1983,21/04/2006,62E1S,USAF
921,,REYNOLDS,DEBORAH,R,156285535,15/02/1995,3/8/2017,13S3,USSF
510,,FISHER,EDWARD,S,483025091,27/05/1976,12/11/1998,21A1,USAF
114,,ELLIS,STEPHANIE,T,295792289,9/9/1989,25/02/2012,32E1S,USAF
815,,HARRISON,RONALD,U,426290331,21/12/1980,8/6/2003,13S1,USSF
304,,GIBSON,REBECCA,V,282431682,2/4/1992,18/09/2014,11M3,USAF
927,,MCDONALD,TIMOTHY,W,204722360,14/07/1983,30/12/2005,17S1,USAF
412,,CRUZ,SHARON,X,325422275,26/10/1994,13/04/2017,5C0X1,USSF
119,,MARSHALL,JASON,Y,601985516,8/2/1979,25/07/2001,14N1,USAF
890,,ORTIZ,LAURA,Z,325176435,20/05/1990,5/11/2012,31P1,USAF
512,,MURRAY,JEFFREY,A,661471044,1/9/1981,18/02/2004,63A1,USAF
203,,FREEMAN,CYNTHIA,B,50118987,13/12/1992,30/05/2015,17D1S,USSF
712,,WELLS,RYAN,C,749516055,25/03/1984,10/9/2006,1A0X1,USAF
389,,WEBB,KATHLEEN,D,002701084,6/7/1995,22/12/2017,1C0X2,USAF
921,,SIMPSON,JACOB,E,680114777,18/10/1976,5/4/1999,13S1,USSF
510,,STEVENS,AMY,F,210362899,30/01/1989,18/07/2011,3D0X2,USAF
114,,TUCKER,GARY,G,777373275,11/5/1980,27/10/2002,11F3,USAF
815,,PORTER,SHIRLEY,H,125287893,23/08/1991,8/2/2014,62E1S,USSF
304,,HUNTER,NICHOLAS,I,166062934,4/12/1982,22/05/2005,17D1,USAF
927,,HICKS,ANGELA,J,537877017,16/03/1994,1/9/2016,14N1,USAF
412,,CRAWFORD,ERIC,K,391158790,28/06/1985,14/12/2007,62E1S,USAF
119,,BOYD,HELEN,L,593107096,9/10/1990,27/03/2013,13S3,USSF
890,,MASON,JONATHAN,M,129740195,21/01/1977,9/7/1999,21A1,USAF
512,,BURNS,ANNA,N,893440224,3/5/1988,19/10/2010,32E1S,USAF
203,,GARDNER,STEPHEN,O,981753261,15/08/1982,1/2/2005,13S1,USSF
712,,PAYNE,BRENDA,P,891868394,27/11/1993,15/05/2016,11M3,USAF
389,,PALMER,LARRY,Q,327564022,9/3/1984,25/08/2006,17S1,USAF
921,,STONE,PAMELA,R,542212212,21/06/1989,7/12/2011,5C0X1,USSF
510,,NICHOLS,JUSTIN,S,194262485,3/10/1976,21/03/1999,14N1,USAF
114,,WARREN,NICOLE,T,413695440,15/01/1991,2/7/2013,31P1,USAF
815,,STEWART,BENJAMIN,U,871758997,27/04/1982,13/10/2004,63A1,USAF
304,,MORRISON,SAMANTHA,V,977327601,9/8/1993,25/01/2016,17D1S,USSF
927,,SMITH,SAMUEL,W,894000564,21/11/1984,9/5/2007,1A0X1,USAF
412,,JOHNSON,KATHERINE,X,538915744,3/3/1995,19/08/2017,1C0X2,USAF
119,,WILLIAMS,GREGORY,Y,956190562,15/06/1979,1/12/2001,13S1,USSF
890,,BROWN,EMMA,Z,799340673,27/09/1990,15/03/2013,3D0X2,USAF
512,,JONES,ALEXANDER,A,565440874,9/1/1981,27/06/2003,11F3,USAF
203,,GARCIA,RUTH,B,238272515,21/04/1992,7/10/2014,62E1S,USSF
712,,MILLER,FRANK,C,496983572,3/8/1983,20/01/2006,17D1,USAF
389,,DAVIS,CHRISTINE,D,975257623,15/11/1994,2/5/2017,14N1,USAF
921,,RODRIGUEZ,PATRICK,E,760918497,27/02/1985,15/08/2007,62E1S,USAF
510,,MARTINEZ,DEBRA,F,728286720,9/6/1991,26/11/2013,13S3,USSF
114,,HERNANDEZ,RAYMOND,G,163058306,21/09/1976,10/3/1999,21A1,USAF
815,,LOPEZ,RACHEL,H,378720466,3/1/1988,20/06/2010,32E1S,USAF
304,,GONZALEZ,JACK,I,597371027,15/04/1982,1/10/2004,13S1,USSF
927,,WILSON,CAROLYN,J,290005557,27/07/1993,12/1/2016,11M3,USAF
412,,ANDERSON,DENNIS,K,117757179,8/11/1980,26/04/2002,17S1,USAF
