Cadet_ID,Detachment,Det State,School,LastName,FirstName,MI,email,phone
3240190,237,Pennsylvania,University of Utah,SMITH,JAMES,A,james.smith_3429@example.com,586-211-6762
0748363,109,Nebraska,Brown University,BROWN,PATRICIA,D,patricia.brown_5012@example.com,451-750-3449
4397904,783,Wyoming,University of Alabama,DAVIS,LINDA,H,linda.davis_5358@example.com,672-712-8114
6307238,114,Michigan,University of Kentucky,HERNANDEZ,WILLIAM,K,william.hernandez_1850@example.com,592-381-6015
4544520,004,Louisiana,University of Vermont,WILSON,SUSAN,N,susan.wilson_4934@example.com,974-816-7454
6301370,652,West Virginia,University of Colorado Boulder,MOORE,SARAH,R,sarah.moore_4100@example.com,574-556-8907
2557000,412,Illinois,Boise State University,LEE,CHRISTOPHER,U,christopher.lee_8738@example.com,953-475-7642
8664431,023,Virginia,University of New Mexico,WHITE,LISA,X,lisa.white_2573@example.com,956-484-1074
7567370,103,Nebraska,Georgia Institute of Technology,RAMIREZ,MARGARET,B,margaret.ramirez_6649@example.com,935-696-9278
9886665,819,Texas,Clemson University,WALKER,DONALD,E,donald.walker_1446@example.com,689-822-8048
8489066,604,Nevada,University of Georgia,KING,KIMBERLY,H,kimberly.king_6130@example.com,371-249-6262
2263960,132,Delaware,University of Idaho,NGUYEN,EMILY,L,emily.nguyen_1648@example.com,988-801-9353
6140899,119,Kansas,University of Wyoming,GREEN,JOSHUA,O,joshua.green_1985@example.com,101-830-2544
0864346,334,Iowa,Louisiana State University,BAKER,AMANDA,R,amanda.baker_8661@example.com,362-941-4734
5995272,518,Oklahoma,University of Idaho,MITCHELL,DEBORAH,V,deborah.mitchell_7936@example.com,678-247-1038
9582460,111,New York,Dartmouth College,GOMEZ,RONALD,Y,ronald.gomez_8747@example.com,135-116-6004
6035273,201,Utah,Vanderbilt University,DIAZ,SHARON,B,sharon.diaz_2073@example.com,277-338-1807
2975917,510,Arizona,Michigan State University,OWENS,CYNTHIA,F,cynthia.owens_3841@example.com,593-783-6599
1904554,304,Washington,Johns Hopkins University,ELLIS,JACOB,I,jacob.ellis_1565@example.com,164-414-7077
8253241,119,New Hampshire,University of Maryland,MCDONALD,SHIRLEY,L,shirley.mcdonald_3260@example.com,430-796-1569
0696687,712,Kentucky,University of New Mexico,MURRAY,HELEN,P,helen.murray_9224@example.com,225-539-8880
2836300,510,Nebraska,University of Idaho,WEBB,STEPHEN,S,stephen.webb_7368@example.com,758-656-7237
2052935,304,Texas,University of Kansas,TUCKER,PAMELA,V,pamela.tucker_5119@example.com,921-821-8511
7614824,890,Maine,Pennsylvania State University,CRAWFORD,SAMANTHA,Z,samantha.crawford_1914@example.com,415-134-1032
8936606,712,Michigan,University of Missouri,BURNS,GREGORY,C,gregory.burns_7105@example.com,697-978-3202
5561375,510,Utah,Vanderbilt University,PALMER,RUTH,F,ruth.palmer_8951@example.com,269-661-9782
2739911,927,Connecticut,Duke University,STEWART,DEBRA,J,debra.stewart_1495@example.com,198-682-3806
2004999,890,Connecticut,Vanderbilt University,JOHNSON,JACK,M,jack.johnson_8795@example.com,599-215-4611
6600880,712,Iowa,Iowa State University,JONES,JANET,P,janet.jones_5800@example.com,977-185-7753
5114237,114,Utah,Boise State University,RODRIGUEZ,HEATHER,T,heather.rodriguez_5135@example.com,611-274-5375
3849032,927,North Dakota,University of Hawaii,LOPEZ,JAMES,W,james.lopez_7039@example.com,630-763-1419
1459876,890,New Mexico,Georgia Institute of Technology,ANDERSON,PATRICIA,Z,patricia.anderson_7029@example.com,742-709-5019
7308702,389,Arkansas,University of Oregon,JACKSON,LINDA,D,linda.jackson_3549@example.com,503-163-6810
2043324,114,Ohio,Arizona State University,PEREZ,WILLIAM,G,william.perez_5615@example.com,745-632-3534
5605276,927,New Hampshire,"University of Nevada, Las Vegas",HARRIS,SUSAN,J,susan.harris_5333@example.com,541-657-7176
2055036,512,Delaware,West Virginia University,LEWIS,SARAH,N,sarah.lewis_8044@example.com,277-870-3812
0326618,389,Alabama,University of Minnesota,YOUNG,CHRISTOPHER,Q,christopher.young_2185@example.com,701-731-1036
6999167,114,Michigan,University of Delaware,WRIGHT,LISA,T,lisa.wright_4310@example.com,803-997-6745
6207088,412,North Dakota,Cornell University,HILL,MARGARET,X,margaret.hill_8153@example.com,196-275-8599
5523718,512,Virginia,University of Michigan,ADAMS,DONALD,A,donald.adams_8226@example.com,984-634-4677
5626808,389,Vermont,University of Illinois,HALL,KIMBERLY,D,kimberly.hall_6278@example.com,987-828-9738
4488342,815,Hawaii,Iowa State University,CARTER,EMILY,H,emily.carter_7902@example.com,237-662-6979
7429628,412,Massachusetts,Pennsylvania State University,PHILLIPS,JOSHUA,K,joshua.phillips_2222@example.com,604-909-3513
2466107,512,Hawaii,North Dakota State University,HOWARD,AMANDA,N,amanda.howard_3639@example.com,255-319-5502
8167248,921,Utah,University of New Mexico,REYNOLDS,DEBORAH,R,deborah.reynolds_6377@example.com,171-604-7996
5666108,815,Nevada,Montana State University,HARRISON,RONALD,U,ronald.harrison_2189@example.com,806-273-3942
2610286,412,Idaho,University of Kentucky,CRUZ,SHARON,X,sharon.cruz_6370@example.com,712-351-6470
1512184,203,Arizona,University of Wyoming,FREEMAN,CYNTHIA,B,cynthia.freeman_9298@example.com,784-564-6137
6925165,921,Rhode Island,Oregon State University,SIMPSON,JACOB,E,jacob.simpson_4595@example.com,696-102-7980
2396795,815,Wyoming,Stanford University,PORTER,SHIRLEY,H,shirley.porter_1442@example.com,175-415-6044
8204598,119,Colorado,University of Florida,BOYD,HELEN,L,helen.boyd_6115@example.com,820-449-3048
6321015,203,Missouri,University of Arkansas,GARDNER,STEPHEN,O,stephen.gardner_5185@example.com,757-170-5587
0783741,921,South Dakota,University of Kansas,STONE,PAMELA,R,pamela.stone_3076@example.com,678-687-4930
3742320,304,Idaho,University of Georgia,MORRISON,SAMANTHA,V,samantha.morrison_5550@example.com,401-743-2422
3778856,119,West Virginia,University of New Mexico,WILLIAMS,GREGORY,Y,gregory.williams_4432@example.com,458-357-1145
7031909,203,Delaware,Michigan State University,GARCIA,RUTH,B,ruth.garcia_4175@example.com,945-365-5585
8031166,510,Delaware,Colorado State University,MARTINEZ,DEBRA,F,debra.martinez_7087@example.com,489-614-1308
0488454,304,Rhode Island,Florida State University,GONZALEZ,JACK,I,jack.gonzalez_1944@example.com,513-982-8925
9184178,119,Delaware,University of Colorado Boulder,THOMAS,JANET,L,janet.thomas_8967@example.com,467-923-8677
3646315,712,North Carolina,Georgia Institute of Technology,MARTIN,HEATHER,P,heather.martin_6990@example.com,595-921-7319
