Cadet_ID,Detachment,Det State,School,LastName,FirstName,MI,SSN
3240190,237,Pennsylvania,University of Utah,SMITH,JAMES,A,657032498
0748363,109,Nebraska,Brown University,BROWN,PATRICIA,D,937957604
4397904,783,Wyoming,University of Alabama,DAVIS,LINDA,H,548928024
6307238,114,Michigan,University of Kentucky,HERNANDEZ,WILLIAM,K,186614110
4544520,004,Louisiana,University of Vermont,WILSON,SUSAN,N,814232894
6301370,652,West Virginia,University of Colorado Boulder,MOORE,SARAH,R,658647556
2557000,412,Illinois,Boise State University,LEE,CHRISTOPHER,U,868137691
8664431,023,Virginia,University of New Mexico,WHITE,LISA,X,219950963
7567370,103,Nebraska,Georgia Institute of Technology,RAMIREZ,MARGARET,B,166858634
9886665,819,Texas,Clemson University,WALKER,DONALD,E,231226493
8489066,604,Nevada,University of Georgia,KING,KIMBERLY,H,789136743
2263960,132,Delaware,University of Idaho,NGUYEN,EMILY,L,168527202
6140899,119,Kansas,University of Wyoming,GREEN,JOSHUA,O,750030729
0864346,334,Iowa,Louisiana State University,BAKER,AMANDA,R,402863526
5995272,518,Oklahoma,University of Idaho,MITCHELL,DEBORAH,V,799152473
9582460,111,New York,Dartmouth College,GOMEZ,RONALD,Y,827242672
6035273,201,Utah,Vanderbilt University,DIAZ,SHARON,B,558462344
2975917,510,Arizona,Michigan State University,OWENS,CYNTHIA,F,098056794
1904554,304,Washington,Johns Hopkins University,ELLIS,JACOB,I,582820559
8253241,119,New Hampshire,University of Maryland,MCDONALD,SHIRLEY,L,871285909
0696687,712,Kentucky,University of New Mexico,MURRAY,HELEN,P,291627686
2836300,510,Nebraska,University of Idaho,WEBB,STEPHEN,S,987951752
2052935,304,Texas,University of Kansas,TUCKER,PAMELA,V,199852408
7614824,890,Maine,Pennsylvania State University,CRAWFORD,SAMANTHA,Z,145694707
8936606,712,Michigan,University of Missouri,BURNS,GREGORY,C,457147803
5561375,510,Utah,Vanderbilt University,PALMER,RUTH,F,102105791
2739911,927,Connecticut,Duke University,STEWART,DEBRA,J,487317160
2004999,890,Connecticut,Vanderbilt University,JOHNSON,JACK,M,550566686
6600880,712,Iowa,Iowa State University,JONES,JANET,P,812468173
5114237,114,Utah,Boise State University,RODRIGUEZ,HEATHER,T,642509125
3849032,927,North Dakota,University of Hawaii,LOPEZ,JAMES,W,890133218
1459876,890,New Mexico,Georgia Institute of Technology,ANDERSON,PATRICIA,Z,199129033
7308702,389,Arkansas,University of Oregon,JACKSON,LINDA,D,032229789
2043324,114,Ohio,Arizona State University,PEREZ,WILLIAM,G,976114421
5605276,927,New Hampshire,"University of Nevada, Las Vegas",HARRIS,SUSAN,J,022698489
2055036,512,Delaware,West Virginia University,LEWIS,SARAH,N,620173573
0326618,389,Alabama,University of Minnesota,YOUNG,CHRISTOPHER,Q,753484884
6999167,114,Michigan,University of Delaware,WRIGHT,LISA,T,274388534
6207088,412,North Dakota,Cornell University,HILL,MARGARET,X,628545956
5523718,512,Virginia,University of Michigan,ADAMS,DONALD,A,522571217
5626808,389,Vermont,University of Illinois,HALL,KIMBERLY,D,016149962
4488342,815,Hawaii,Iowa State University,CARTER,EMILY,H,619238016
7429628,412,Massachusetts,Pennsylvania State University,PHILLIPS,JOSHUA,K,264446382
2466107,512,Hawaii,North Dakota State University,HOWARD,AMANDA,N,150540032
8167248,921,Utah,University of New Mexico,REYNOLDS,DEBORAH,R,156285535
5666108,815,Nevada,Montana State University,HARRISON,RONALD,U,426290331
2610286,412,Idaho,University of Kentucky,CRUZ,SHARON,X,325422275
1512184,203,Arizona,University of Wyoming,FREEMAN,CYNTHIA,B,050118987
6925165,921,Rhode Island,Oregon State University,SIMPSON,JACOB,E,680114777
2396795,815,Wyoming,Stanford University,PORTER,SHIRLEY,H,125287893
8204598,119,Colorado,University of Florida,BOYD,HELEN,L,593107096
6321015,203,Missouri,University of Arkansas,GARDNER,STEPHEN,O,981753261
0783741,921,South Dakota,University of Kansas,STONE,PAMELA,R,542212212
3742320,304,Idaho,University of Georgia,MORRISON,SAMANTHA,V,977327601
3778856,119,West Virginia,University of New Mexico,WILLIAMS,GREGORY,Y,956190562
7031909,203,Delaware,Michigan State University,GARCIA,RUTH,B,238272515
8031166,510,Delaware,Colorado State University,MARTINEZ,DEBRA,F,728286720
0488454,304,Rhode Island,Florida State University,GONZALEZ,JACK,I,597371027
9184178,119,Delaware,University of Colorado Boulder,THOMAS,JANET,L,166287581
3646315,712,North Carolina,Georgia Institute of Technology,MARTIN,HEATHER,P,155275667
5596873,510,New York,Clemson University,THOMPSON,JAMES,S,001378281
1107853,304,Pennsylvania,"University of California, Berkeley",SANCHEZ,PATRICIA,V,548386106
2991606,890,Texas,Boise State University,ROBINSON,LINDA,Z,597060860
1206409,712,Vermont,New York University,ALLEN,WILLIAM,C,789683212
2009706,510,Illinois,University of Nebraska-Lincoln,SCOTT,SUSAN,F,291615351
2980290,927,Wyoming,Yale University,FLORES,SARAH,J,373135421
9525193,890,Oregon,West Virginia University,NELSON,CHRISTOPHER,M,392212532
4970959,712,Nevada,University of Kansas,RIVERA,LISA,P,602602748
9292752,114,Oregon,University of Alaska,ROBERTS,MARGARET,T,793443196
